User_ID;Smartphone_Adoption;Payment_Method;Website_Activity;Bought_Digital_Media_18Mo;Gender;Bought_Electronics_12Mo;Bought_Digital;Browsed_Electronics_12Mo;Marital_Status;Age
1645;Early Adopter;Bank Transfer;Frequent;No;F;No;Yes;Yes;S;64
2866;Early Adopter;Bank Transfer;Seldom;Yes;F;No;Yes;Yes;S;18
7014;Early Adopter;Website Account;Frequent;No;F;No;No;Yes;S;55
6177;Early Adopter;Credit Card;Regular;Yes;M;No;Yes;Yes;M;66
6199;Early Adopter;Credit Card;Regular;Yes;F;Yes;Yes;Yes;S;18
4787;Early Adopter;Credit Card;Seldom;No;F;Yes;Yes;Yes;S;59
1720;Early Adopter;Website Account;Regular;Yes;F;Yes;No;No;S;66
7763;Early Adopter;Bank Transfer;Regular;Yes;F;Yes;Yes;Yes;S;32
7356;Early Adopter;Website Account;Seldom;Yes;F;No;No;No;S;63
6916;Early Adopter;Website Account;Seldom;No;M;No;No;No;S;66
2979;Early Adopter;Bank Transfer;Seldom;Yes;F;Yes;No;No;S;61
1328;Early Adopter;Bank Transfer;Regular;Yes;M;No;Yes;Yes;M;60
7817;Early Adopter;Bank Transfer;Regular;No;F;No;No;No;M;16
4937;Early Adopter;Bank Transfer;Seldom;No;M;Yes;Yes;Yes;S;37
3879;Early Adopter;Monthly Billing;Seldom;No;F;Yes;No;Yes;S;61
1757;Early Adopter;Bank Transfer;Seldom;Yes;M;No;Yes;No;S;59
9651;Early Adopter;Bank Transfer;Seldom;No;M;No;No;No;S;64
8096;Early Adopter;Bank Transfer;Regular;Yes;M;No;No;Yes;S;60
8097;Early Adopter;Website Account;Frequent;Yes;F;Yes;Yes;Yes;S;66
8098;Early Adopter;Monthly Billing;Regular;No;F;Yes;No;Yes;S;53
8099;Early Adopter;Bank Transfer;Seldom;No;M;Yes;Yes;Yes;S;38
8100;Early Adopter;Bank Transfer;Seldom;No;F;Yes;Yes;Yes;M;23
8101;Early Adopter;Bank Transfer;Regular;Yes;F;Yes;Yes;Yes;S;66
8102;Early Adopter;Bank Transfer;Frequent;Yes;F;Yes;Yes;Yes;S;64
8103;Early Adopter;Website Account;Frequent;No;M;Yes;No;Yes;S;54
8104;Early Adopter;Credit Card;Seldom;No;F;Yes;Yes;Yes;M;53
8105;Early Adopter;Bank Transfer;Regular;Yes;F;No;No;No;S;59
8106;Early Adopter;Credit Card;Regular;Yes;F;Yes;Yes;Yes;S;66
8107;Early Adopter;Website Account;Regular;Yes;F;Yes;Yes;Yes;M;38
8108;Early Adopter;Website Account;Seldom;No;M;No;No;Yes;S;66
8109;Early Adopter;Website Account;Seldom;No;M;No;No;Yes;S;66
8110;Early Adopter;Website Account;Seldom;Yes;F;No;Yes;Yes;S;64
8111;Early Adopter;Credit Card;Regular;Yes;M;No;Yes;Yes;M;66
8112;Early Adopter;Monthly Billing;Seldom;No;F;No;No;Yes;M;66
8113;Early Adopter;Bank Transfer;Seldom;No;M;No;No;No;M;56
8114;Early Adopter;Website Account;Frequent;Yes;F;Yes;Yes;Yes;S;54
8115;Early Adopter;Bank Transfer;Regular;Yes;M;No;No;Yes;S;61
8116;Early Adopter;Monthly Billing;Regular;Yes;F;No;Yes;Yes;M;19
8117;Early Adopter;Website Account;Regular;No;F;Yes;Yes;Yes;M;23
8118;Early Adopter;Bank Transfer;Frequent;No;M;Yes;No;Yes;S;47
8119;Early Adopter;Bank Transfer;Regular;Yes;F;Yes;Yes;Yes;S;66
8120;Early Adopter;Bank Transfer;Seldom;No;M;Yes;Yes;Yes;S;41
8121;Early Adopter;Bank Transfer;Seldom;Yes;M;No;No;Yes;S;60
8122;Early Adopter;Bank Transfer;Seldom;No;F;Yes;No;Yes;S;26
8123;Early Adopter;Bank Transfer;Regular;Yes;M;Yes;Yes;Yes;M;19
8124;Early Adopter;Bank Transfer;Seldom;Yes;M;Yes;Yes;Yes;M;19
8125;Early Adopter;Website Account;Seldom;Yes;F;No;Yes;Yes;S;66
8126;Early Adopter;Credit Card;Seldom;Yes;M;Yes;Yes;Yes;M;61
8127;Early Adopter;Bank Transfer;Seldom;No;F;Yes;No;Yes;S;20
8128;Early Adopter;Credit Card;Seldom;No;M;Yes;No;Yes;M;19
8129;Early Adopter;Website Account;Regular;Yes;M;No;Yes;No;M;25
8130;Early Adopter;Credit Card;Frequent;No;M;Yes;No;Yes;M;26
8131;Early Adopter;Website Account;Seldom;Yes;F;No;Yes;Yes;S;66
8132;Early Adopter;Bank Transfer;Seldom;No;M;No;No;No;M;16
8133;Early Adopter;Bank Transfer;Frequent;Yes;M;No;Yes;Yes;M;19
8134;Early Adopter;Bank Transfer;Seldom;Yes;M;Yes;Yes;Yes;M;19
8135;Early Adopter;Website Account;Seldom;Yes;M;Yes;Yes;Yes;M;60
8136;Early Adopter;Bank Transfer;Frequent;No;M;Yes;Yes;Yes;M;25
8137;Early Adopter;Monthly Billing;Seldom;No;M;No;Yes;Yes;M;66
8138;Early Adopter;Monthly Billing;Regular;No;M;Yes;Yes;Yes;M;60
8139;Early Adopter;Website Account;Regular;Yes;F;No;No;Yes;S;66
8140;Early Adopter;Website Account;Regular;No;F;Yes;Yes;Yes;S;66
8141;Early Adopter;Monthly Billing;Regular;No;F;No;Yes;Yes;M;66
8142;Early Adopter;Website Account;Regular;Yes;F;No;Yes;No;M;39
8143;Early Adopter;Bank Transfer;Regular;Yes;M;Yes;Yes;Yes;M;60
8144;Early Adopter;Credit Card;Seldom;No;M;Yes;Yes;Yes;M;52
8145;Early Adopter;Bank Transfer;Seldom;Yes;F;No;Yes;No;S;58
8146;Early Adopter;Bank Transfer;Seldom;No;M;Yes;No;Yes;S;27
8147;Early Adopter;Website Account;Seldom;No;M;No;No;Yes;S;66
8148;Early Adopter;Website Account;Regular;No;M;No;Yes;Yes;M;23
8149;Early Adopter;Credit Card;Seldom;No;F;Yes;Yes;Yes;M;60
8150;Early Adopter;Credit Card;Seldom;No;M;Yes;No;Yes;M;25
8151;Early Adopter;Website Account;Regular;Yes;F;Yes;No;Yes;S;66
8152;Early Adopter;Bank Transfer;Seldom;No;M;Yes;Yes;Yes;S;38
8153;Early Adopter;Bank Transfer;Seldom;No;M;Yes;Yes;Yes;S;40
8154;Early Adopter;Website Account;Seldom;Yes;M;No;No;Yes;S;60
8155;Early Adopter;Website Account;Frequent;No;M;Yes;Yes;Yes;S;56
8156;Early Adopter;Monthly Billing;Regular;No;F;No;Yes;Yes;M;66
8157;Early Adopter;Website Account;Frequent;No;F;No;Yes;Yes;S;59
8158;Early Adopter;Bank Transfer;Seldom;No;M;Yes;Yes;Yes;M;60
8159;Early Adopter;Bank Transfer;Seldom;Yes;M;No;Yes;No;S;66
8160;Early Adopter;Bank Transfer;Regular;Yes;F;No;Yes;Yes;M;38
8161;Early Adopter;Bank Transfer;Seldom;Yes;M;No;No;Yes;S;61
8162;Early Adopter;Monthly Billing;Regular;No;M;No;Yes;Yes;M;66
8163;Early Adopter;Bank Transfer;Seldom;No;M;Yes;No;Yes;S;25
8164;Early Adopter;Website Account;Regular;No;F;Yes;Yes;Yes;S;66
8165;Early Adopter;Website Account;Frequent;No;M;Yes;No;Yes;S;25
8166;Early Adopter;Bank Transfer;Seldom;No;M;Yes;Yes;Yes;S;42
8167;Early Majority;Monthly Billing;Seldom;No;M;Yes;Yes;Yes;S;66
8168;Early Majority;Monthly Billing;Seldom;No;M;No;Yes;Yes;M;46
8169;Early Majority;Monthly Billing;Frequent;No;M;Yes;Yes;Yes;S;50
8170;Early Majority;Monthly Billing;Regular;Yes;M;No;Yes;Yes;S;64
8171;Early Majority;Website Account;Seldom;Yes;F;Yes;No;Yes;S;33
8172;Early Majority;Bank Transfer;Seldom;Yes;M;No;Yes;Yes;S;64
8173;Early Majority;Website Account;Regular;Yes;M;Yes;No;Yes;M;23
8174;Early Majority;Website Account;Regular;Yes;M;Yes;No;Yes;S;44
8175;Early Majority;Website Account;Seldom;Yes;M;Yes;No;Yes;M;55
8176;Early Majority;Monthly Billing;Seldom;No;F;Yes;Yes;Yes;S;51
8177;Early Majority;Website Account;Regular;Yes;F;No;Yes;Yes;S;36
8178;Early Majority;Bank Transfer;Seldom;No;M;No;No;No;M;31
8179;Early Majority;Website Account;Regular;Yes;F;Yes;No;Yes;M;37
8180;Early Majority;Website Account;Seldom;Yes;M;Yes;No;Yes;S;40
8181;Early Majority;Bank Transfer;Seldom;No;F;Yes;Yes;Yes;S;37
8182;Early Majority;Bank Transfer;Regular;Yes;M;Yes;No;Yes;S;44
8183;Early Majority;Monthly Billing;Seldom;Yes;F;No;No;Yes;S;20
8184;Early Majority;Bank Transfer;Seldom;Yes;M;No;No;Yes;S;16
8185;Early Majority;Monthly Billing;Regular;No;M;No;No;Yes;M;20
8186;Early Majority;Website Account;Seldom;Yes;F;No;No;Yes;S;16
8187;Early Majority;Bank Transfer;Seldom;No;M;No;Yes;Yes;M;31
8188;Early Majority;Website Account;Seldom;No;F;Yes;No;Yes;M;55
8189;Early Majority;Bank Transfer;Regular;Yes;M;Yes;Yes;Yes;S;44
8190;Early Majority;Website Account;Regular;Yes;M;Yes;No;Yes;S;28
8191;Early Majority;Monthly Billing;Regular;Yes;F;Yes;No;Yes;S;64
8192;Early Majority;Bank Transfer;Frequent;Yes;M;No;No;No;M;52
8193;Early Majority;Bank Transfer;Regular;Yes;M;Yes;Yes;Yes;S;36
8194;Early Majority;Bank Transfer;Seldom;Yes;M;No;Yes;Yes;S;63
8195;Early Majority;Bank Transfer;Seldom;Yes;M;Yes;No;No;S;34
8196;Early Majority;Website Account;Seldom;Yes;M;Yes;No;Yes;M;44
8197;Early Majority;Website Account;Regular;Yes;M;No;No;Yes;S;53
8198;Early Majority;Bank Transfer;Seldom;Yes;M;Yes;Yes;Yes;S;63
8199;Early Majority;Bank Transfer;Seldom;No;F;Yes;Yes;Yes;M;52
8200;Early Majority;Website Account;Regular;Yes;F;Yes;Yes;Yes;M;52
8201;Early Majority;Bank Transfer;Regular;Yes;F;Yes;Yes;Yes;M;64
8202;Early Majority;Website Account;Seldom;Yes;M;Yes;Yes;Yes;M;19
8203;Early Majority;Website Account;Regular;Yes;F;Yes;No;Yes;M;37
8204;Early Majority;Bank Transfer;Regular;No;M;No;No;Yes;M;61
8205;Early Majority;Bank Transfer;Seldom;Yes;M;Yes;Yes;No;M;52
8206;Early Majority;Website Account;Seldom;Yes;F;Yes;No;Yes;S;41
8207;Early Majority;Credit Card;Regular;Yes;M;No;No;Yes;M;66
8208;Early Majority;Monthly Billing;Regular;No;M;Yes;Yes;No;S;50
8209;Early Majority;Credit Card;Seldom;Yes;F;Yes;No;Yes;S;60
8210;Early Majority;Monthly Billing;Seldom;Yes;M;Yes;Yes;Yes;S;32
8211;Early Majority;Website Account;Seldom;No;F;Yes;Yes;Yes;S;30
8212;Early Majority;Website Account;Seldom;Yes;F;Yes;Yes;Yes;S;52
8213;Early Majority;Bank Transfer;Regular;Yes;M;Yes;Yes;No;M;41
8214;Early Majority;Credit Card;Frequent;Yes;M;Yes;Yes;Yes;M;20
8215;Early Majority;Bank Transfer;Seldom;Yes;M;Yes;Yes;Yes;S;45
8216;Early Majority;Bank Transfer;Seldom;No;F;No;Yes;Yes;M;38
8217;Early Majority;Bank Transfer;Seldom;Yes;F;No;Yes;Yes;M;24
8218;Early Majority;Bank Transfer;Seldom;No;M;Yes;Yes;Yes;M;33
8219;Early Majority;Bank Transfer;Seldom;No;F;Yes;Yes;Yes;S;66
8220;Early Majority;Website Account;Regular;No;F;Yes;Yes;Yes;S;44
8221;Early Majority;Monthly Billing;Seldom;No;F;Yes;Yes;Yes;M;51
8222;Early Majority;Monthly Billing;Seldom;Yes;M;Yes;No;Yes;M;39
8223;Early Majority;Website Account;Seldom;Yes;F;Yes;Yes;Yes;M;39
8224;Early Majority;Bank Transfer;Frequent;Yes;M;No;No;No;M;53
8225;Early Majority;Credit Card;Frequent;Yes;M;Yes;No;Yes;M;16
8226;Early Majority;Website Account;Seldom;Yes;M;Yes;No;Yes;M;66
8227;Early Majority;Website Account;Regular;Yes;M;Yes;No;No;M;66
8228;Early Majority;Monthly Billing;Regular;No;M;Yes;No;Yes;M;28
8229;Early Majority;Website Account;Seldom;Yes;M;No;No;Yes;S;16
8230;Early Majority;Website Account;Seldom;Yes;M;Yes;No;Yes;M;57
8231;Early Majority;Credit Card;Seldom;Yes;M;Yes;No;Yes;M;21
8232;Early Majority;Monthly Billing;Seldom;No;M;Yes;No;Yes;M;28
8233;Early Majority;Bank Transfer;Seldom;Yes;M;Yes;No;Yes;M;65
8234;Early Majority;Bank Transfer;Seldom;No;M;No;Yes;Yes;M;28
8235;Early Majority;Website Account;Seldom;Yes;M;Yes;Yes;Yes;S;47
8236;Early Majority;Monthly Billing;Seldom;Yes;F;No;No;Yes;M;16
8237;Early Majority;Bank Transfer;Seldom;Yes;F;Yes;No;No;S;45
8238;Early Majority;Website Account;Regular;Yes;F;Yes;Yes;Yes;M;32
8239;Early Majority;Website Account;Seldom;Yes;M;Yes;No;Yes;M;56
8240;Early Majority;Bank Transfer;Regular;Yes;F;Yes;Yes;Yes;M;37
8241;Early Majority;Monthly Billing;Regular;Yes;F;Yes;No;Yes;M;47
8242;Early Majority;Website Account;Regular;No;F;Yes;No;Yes;S;60
8243;Early Majority;Monthly Billing;Seldom;Yes;M;Yes;Yes;Yes;M;16
8244;Early Majority;Bank Transfer;Regular;No;F;Yes;No;Yes;S;41
8245;Early Majority;Monthly Billing;Regular;Yes;F;No;Yes;No;M;17
8246;Early Majority;Bank Transfer;Regular;No;M;Yes;Yes;Yes;S;42
8247;Early Majority;Monthly Billing;Seldom;No;M;Yes;No;Yes;S;32
8248;Early Majority;Monthly Billing;Seldom;No;F;Yes;No;Yes;S;39
8249;Early Majority;Website Account;Seldom;Yes;F;No;Yes;Yes;M;16
8250;Early Majority;Website Account;Frequent;Yes;M;Yes;Yes;Yes;M;26
8251;Early Majority;Website Account;Regular;No;M;Yes;Yes;Yes;M;30
8252;Early Majority;Website Account;Regular;Yes;M;No;No;No;S;57
8253;Early Majority;Bank Transfer;Seldom;Yes;M;No;Yes;Yes;S;43
8254;Early Majority;Credit Card;Seldom;No;F;Yes;Yes;Yes;M;28
8255;Early Majority;Monthly Billing;Seldom;No;M;No;No;Yes;S;46
8256;Early Majority;Website Account;Frequent;Yes;M;No;No;Yes;M;54
8257;Early Majority;Website Account;Seldom;Yes;M;Yes;Yes;Yes;S;45
8258;Early Majority;Bank Transfer;Seldom;Yes;M;No;Yes;Yes;M;24
8259;Early Majority;Website Account;Seldom;No;M;No;No;Yes;M;66
8260;Early Majority;Website Account;Seldom;Yes;M;No;Yes;Yes;M;65
8261;Early Majority;Credit Card;Regular;No;F;Yes;No;Yes;S;36
8262;Early Majority;Monthly Billing;Seldom;Yes;M;Yes;No;Yes;S;26
8263;Early Majority;Credit Card;Seldom;No;M;Yes;No;Yes;M;49
8264;Early Majority;Website Account;Seldom;No;F;Yes;No;Yes;S;66
8265;Early Majority;Bank Transfer;Seldom;No;M;Yes;No;Yes;M;47
8266;Early Majority;Bank Transfer;Seldom;Yes;M;Yes;Yes;Yes;S;39
8267;Early Majority;Website Account;Seldom;Yes;M;Yes;Yes;Yes;S;22
8268;Early Majority;Credit Card;Seldom;No;M;No;Yes;Yes;S;63
8269;Early Majority;Bank Transfer;Regular;No;F;Yes;No;Yes;S;66
8270;Early Majority;Website Account;Seldom;Yes;F;Yes;Yes;Yes;M;28
8271;Early Majority;Monthly Billing;Seldom;Yes;F;Yes;Yes;Yes;M;20
8272;Early Majority;Website Account;Seldom;Yes;M;No;No;Yes;S;47
8273;Early Majority;Website Account;Seldom;Yes;M;Yes;No;Yes;S;46
8274;Early Majority;Website Account;Seldom;No;M;Yes;No;Yes;M;45
8275;Early Majority;Bank Transfer;Seldom;No;M;Yes;No;Yes;M;34
8276;Early Majority;Bank Transfer;Seldom;No;F;No;No;Yes;S;16
8277;Early Majority;Monthly Billing;Seldom;No;M;No;No;Yes;S;57
8278;Early Majority;Bank Transfer;Seldom;Yes;M;No;Yes;Yes;S;37
8279;Early Majority;Website Account;Regular;Yes;F;Yes;No;Yes;M;18
8280;Early Majority;Website Account;Regular;Yes;F;Yes;No;Yes;S;56
8281;Early Majority;Monthly Billing;Regular;Yes;M;Yes;Yes;Yes;M;43
8282;Early Majority;Monthly Billing;Regular;Yes;M;No;No;Yes;M;16
8283;Early Majority;Monthly Billing;Regular;No;M;No;No;Yes;M;48
8284;Early Majority;Credit Card;Seldom;Yes;F;No;No;Yes;S;16
8285;Early Majority;Credit Card;Seldom;No;F;Yes;No;Yes;S;47
8286;Early Majority;Website Account;Seldom;Yes;M;Yes;No;Yes;S;21
8287;Early Majority;Website Account;Seldom;Yes;F;Yes;No;Yes;M;43
8288;Early Majority;Website Account;Seldom;No;F;Yes;No;Yes;M;63
8289;Early Majority;Credit Card;Seldom;No;M;No;Yes;Yes;M;66
8290;Early Majority;Website Account;Seldom;Yes;F;Yes;Yes;Yes;S;66
8291;Early Majority;Website Account;Seldom;Yes;M;No;No;Yes;M;16
8292;Early Majority;Monthly Billing;Seldom;No;F;Yes;Yes;Yes;M;34
8293;Early Majority;Bank Transfer;Seldom;Yes;F;Yes;No;Yes;M;53
8294;Early Majority;Monthly Billing;Seldom;No;M;Yes;No;Yes;M;56
8295;Early Majority;Bank Transfer;Frequent;No;F;Yes;No;Yes;S;29
8296;Early Majority;Website Account;Seldom;Yes;F;Yes;Yes;Yes;S;43
8297;Early Majority;Monthly Billing;Seldom;Yes;M;Yes;Yes;Yes;M;39
8298;Early Majority;Bank Transfer;Regular;No;F;No;No;Yes;M;60
8299;Early Majority;Website Account;Seldom;Yes;F;Yes;Yes;Yes;M;59
8300;Early Majority;Credit Card;Seldom;Yes;F;No;Yes;Yes;S;66
8301;Early Majority;Monthly Billing;Seldom;Yes;M;Yes;No;Yes;S;16
8302;Early Majority;Bank Transfer;Regular;Yes;M;Yes;Yes;Yes;S;45
8303;Early Majority;Website Account;Regular;No;M;No;No;Yes;S;37
8304;Early Majority;Credit Card;Seldom;Yes;M;Yes;Yes;Yes;S;51
8305;Early Majority;Website Account;Regular;Yes;F;Yes;No;No;M;66
8306;Early Majority;Monthly Billing;Seldom;Yes;F;No;Yes;Yes;S;16
8307;Early Majority;Bank Transfer;Seldom;No;F;No;Yes;Yes;S;24
8308;Early Majority;Website Account;Regular;Yes;M;Yes;No;Yes;M;44
8309;Early Majority;Website Account;Regular;No;M;No;No;Yes;M;40
8310;Early Majority;Credit Card;Frequent;Yes;M;Yes;No;No;S;66
8311;Early Majority;Website Account;Regular;No;M;No;Yes;Yes;M;35
8312;Early Majority;Website Account;Seldom;Yes;M;Yes;Yes;Yes;S;57
8313;Early Majority;Website Account;Seldom;Yes;F;Yes;Yes;Yes;S;45
8314;Early Majority;Credit Card;Seldom;No;M;No;Yes;Yes;S;16
8315;Early Majority;Credit Card;Regular;No;M;No;Yes;Yes;S;66
8316;Early Majority;Bank Transfer;Regular;No;F;Yes;No;Yes;M;61
8317;Early Majority;Bank Transfer;Seldom;Yes;F;No;Yes;Yes;M;64
8318;Early Majority;Website Account;Seldom;Yes;F;Yes;No;Yes;M;66
8319;Early Majority;Monthly Billing;Regular;Yes;F;Yes;No;Yes;M;36
8320;Early Majority;Bank Transfer;Regular;Yes;F;Yes;No;Yes;S;63
8321;Early Majority;Monthly Billing;Regular;Yes;M;No;Yes;Yes;M;49
8322;Early Majority;Bank Transfer;Regular;Yes;F;Yes;No;Yes;M;63
8323;Early Majority;Credit Card;Seldom;Yes;F;Yes;No;Yes;S;53
8324;Early Majority;Bank Transfer;Seldom;Yes;F;No;Yes;Yes;M;25
8325;Early Majority;Website Account;Seldom;Yes;F;No;Yes;No;S;37
8326;Early Majority;Website Account;Regular;Yes;F;Yes;Yes;Yes;M;64
8327;Early Majority;Bank Transfer;Seldom;No;M;No;No;Yes;S;47
8328;Early Majority;Bank Transfer;Seldom;Yes;M;No;Yes;Yes;M;64
8329;Early Majority;Website Account;Seldom;Yes;F;Yes;Yes;Yes;S;32
8330;Early Majority;Website Account;Seldom;Yes;M;Yes;Yes;Yes;S;50
8331;Early Majority;Website Account;Frequent;Yes;M;Yes;No;Yes;M;57
8332;Early Majority;Bank Transfer;Seldom;Yes;M;Yes;Yes;Yes;S;43
8333;Early Majority;Bank Transfer;Seldom;Yes;F;Yes;Yes;Yes;S;54
8334;Early Majority;Website Account;Seldom;Yes;M;Yes;No;Yes;S;63
8335;Early Majority;Website Account;Frequent;Yes;M;Yes;Yes;Yes;M;17
8336;Early Majority;Website Account;Seldom;Yes;M;Yes;Yes;Yes;S;45
8337;Early Majority;Credit Card;Seldom;No;M;Yes;Yes;Yes;M;29
8338;Early Majority;Bank Transfer;Seldom;Yes;M;No;Yes;Yes;M;65
8339;Early Majority;Website Account;Seldom;Yes;M;Yes;Yes;Yes;S;26
8340;Early Majority;Bank Transfer;Seldom;No;M;No;No;Yes;M;34
8341;Early Majority;Monthly Billing;Seldom;No;M;Yes;No;Yes;M;59
8342;Early Majority;Bank Transfer;Seldom;Yes;F;Yes;Yes;Yes;M;65
8343;Early Majority;Website Account;Regular;No;M;No;Yes;Yes;M;45
8344;Early Majority;Website Account;Regular;Yes;M;Yes;No;Yes;M;55
8345;Early Majority;Website Account;Seldom;No;M;No;Yes;Yes;M;24
8346;Early Majority;Bank Transfer;Seldom;Yes;F;Yes;No;Yes;M;53
8347;Early Majority;Credit Card;Regular;Yes;M;Yes;Yes;Yes;M;64
8348;Early Majority;Monthly Billing;Frequent;Yes;M;No;No;Yes;S;16
8349;Early Majority;Bank Transfer;Regular;No;F;Yes;No;Yes;S;44
8350;Early Majority;Bank Transfer;Frequent;No;M;Yes;No;Yes;M;42
8351;Early Majority;Monthly Billing;Seldom;Yes;M;No;No;Yes;S;29
8352;Early Majority;Bank Transfer;Regular;Yes;F;Yes;Yes;Yes;M;36
8353;Early Majority;Website Account;Frequent;No;M;No;No;Yes;M;61
8354;Early Majority;Bank Transfer;Frequent;No;M;Yes;No;Yes;M;28
8355;Early Majority;Monthly Billing;Seldom;Yes;M;Yes;No;Yes;M;32
8356;Early Majority;Bank Transfer;Seldom;Yes;F;No;Yes;Yes;S;16
8357;Early Majority;Bank Transfer;Seldom;Yes;F;Yes;No;Yes;S;66
8358;Early Majority;Monthly Billing;Seldom;Yes;M;Yes;Yes;Yes;S;65
8359;Early Majority;Website Account;Seldom;Yes;M;Yes;Yes;No;M;33
8360;Early Majority;Website Account;Seldom;Yes;M;Yes;Yes;Yes;M;43
8361;Early Majority;Bank Transfer;Frequent;No;M;Yes;Yes;Yes;S;37
8362;Early Majority;Website Account;Seldom;Yes;M;Yes;No;Yes;M;52
8363;Early Majority;Bank Transfer;Regular;No;F;Yes;Yes;Yes;S;34
8364;Early Majority;Website Account;Seldom;Yes;F;Yes;No;Yes;S;50
8365;Early Majority;Credit Card;Seldom;Yes;M;No;No;Yes;M;66
8366;Early Majority;Bank Transfer;Seldom;Yes;F;Yes;Yes;Yes;M;54
8367;Early Majority;Monthly Billing;Regular;Yes;F;No;No;Yes;M;22
8368;Early Majority;Website Account;Seldom;Yes;M;Yes;No;Yes;M;57
8369;Early Majority;Bank Transfer;Seldom;Yes;F;Yes;Yes;Yes;S;26
8370;Early Majority;Monthly Billing;Seldom;Yes;M;Yes;No;Yes;M;16
8371;Early Majority;Bank Transfer;Regular;No;M;Yes;Yes;Yes;S;43
8372;Early Majority;Monthly Billing;Regular;Yes;F;Yes;No;Yes;M;26
8373;Early Majority;Website Account;Regular;No;M;Yes;Yes;Yes;M;55
8374;Early Majority;Website Account;Regular;Yes;M;No;No;Yes;M;61
8375;Early Majority;Monthly Billing;Regular;No;F;Yes;Yes;Yes;S;66
8376;Early Majority;Website Account;Seldom;Yes;M;No;No;Yes;M;63
8377;Early Majority;Bank Transfer;Seldom;No;M;No;No;Yes;M;64
8378;Early Majority;Bank Transfer;Seldom;Yes;F;No;Yes;Yes;M;16
8379;Early Majority;Credit Card;Frequent;No;F;No;No;Yes;M;46
8380;Early Majority;Credit Card;Seldom;Yes;M;No;No;Yes;M;16
8381;Early Majority;Monthly Billing;Seldom;No;M;Yes;No;Yes;M;38
8382;Early Majority;Bank Transfer;Seldom;Yes;M;No;No;Yes;M;16
8383;Early Majority;Monthly Billing;Frequent;Yes;M;Yes;No;Yes;M;54
8384;Early Majority;Website Account;Seldom;Yes;F;Yes;No;Yes;M;64
8385;Early Majority;Website Account;Seldom;Yes;F;Yes;No;Yes;S;55
8386;Early Majority;Bank Transfer;Seldom;Yes;M;No;Yes;Yes;M;24
8387;Early Majority;Monthly Billing;Regular;Yes;M;No;Yes;Yes;M;37
8388;Early Majority;Website Account;Seldom;No;F;Yes;Yes;Yes;S;66
8389;Early Majority;Bank Transfer;Seldom;No;M;Yes;Yes;Yes;M;25
8390;Early Majority;Monthly Billing;Regular;Yes;M;No;No;No;S;53
8391;Early Majority;Monthly Billing;Seldom;Yes;F;Yes;No;Yes;M;65
8392;Early Majority;Bank Transfer;Regular;No;F;Yes;No;Yes;S;61
8393;Early Majority;Bank Transfer;Seldom;Yes;M;Yes;No;Yes;M;64
8394;Early Majority;Bank Transfer;Regular;Yes;F;Yes;No;Yes;M;60
8395;Early Majority;Website Account;Frequent;No;F;Yes;No;No;S;31
8396;Early Majority;Bank Transfer;Regular;Yes;M;Yes;Yes;Yes;M;37
8397;Early Majority;Bank Transfer;Seldom;Yes;M;Yes;Yes;No;M;64
